NOMBRE,TIPO,ESTADO,DEPARTAMENTO-CIUDAD,INFORMACION,CONTRATISTA,EXTENSION,LOCALIDADES,INICIO,FIN,PLAZO,AVANCE,FINANCIACION,INVERSION
"Servicios de colocaciòn de alcantarillas celulares y tubulares en los Departamentos de Concepcciòn, San Pedro y Canindeyù. Lote 1",Construcción de Alcantarillas,FINALIZADA,Concepción - Concepción,"Llamado MOPC 03-15 - Servicios de colocación de alcantarillas celulares y tubulares en los Departamentos de Concepcción, San Pedro y Canindeyú. Lote 1",Abatte y Asociados Constructora,,Concepción - San Pedro - Canindeyú,"Mié, 15 Julio 2015","Sáb, 15 Octubre 2016",15,0%,Fondo Local,Gs. 4.500.000.000
Pavimentación tipo empedrado del tramo Villarrica - Itapé,Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,Guairá - Villarrica,Pavimentación tipo empedrado del tramo Villarrica - Itapé,Consorcio Victoria,21.41,Villarrica - Itapé,"Jue, 31 Enero 2013","Sáb, 28 Mayo 2016",,96%,Fondo Local,Gs. 25.666.621.486
Pavimentación asfáltica sobre empedrado del tramo Colonia Independencia - Paso Yobai,Pavimentación Asfáltica,EN CONSTRUCCIÓN,Guairá - Colonia Independencia,Pavimentación asfáltica sobre empedrado del tramo Colonia Independencia - Paso Yobai.,Constructora Feldmann S.A.,22 kms.,Colonia Independencia - Paso Yobai,"Jue, 31 Enero 2013","Vie, 14 Octubre 2016",,99%,Fondo Local,Gs. 47.979.171.210
Construccion de Obras de Caminos Vecinales en el tramo Carpintería Cué - Cerro Jhu - Cerro Perõ - Puente Capi'i,Ripio / Empedrado,EN CONSTRUCCIÓN,Amambay - Zanja Pytá,"Construccion de Obras de Caminos Vecinales en el tramo
Lote 6: Amambay – Tramo 6.06 – Carpintería Cue – Cerro Hu – Cerro Perõ – Puente Capi’í. Longitud 17,54: Consorcio del Norte (Ing. Ricardo Arévalo-Jonica S.A.), por 7.048.980.853.",Consorcio del Norte,"17,54 Kms.",Zanja Pytá - Carpintería Cué - Fortuna Guazú,"Lun, 06 Abril 2015","Jue, 14 Junio 2018",38,85%,BID,Gs. 8.548.394.838
Pavimentación tipo empedrado del tramo Horqueta - Río Ypane,Pavimentación Tipo Empedrado,FINALIZADA,Concepción - Concepción,Pavimentación tipo empedrado del tramo Horqueta - Río Ypane,Talavera Ortellado Construcciones S.A. (T.O.C. S.A.),40 kms,Horqueta,"Vie, 22 Febrero 2013","Mar, 02 Febrero 2016",,100%,Fondo Local,Gs. 77.078.866.790
Pavimentación tipo empedrado del tramo Raúl A. Oviedo - Nueva Toledo,Pavimentación Tipo Empedrado,FINALIZADA,Caaguazú - Raúl Arsenio Oviedo,Pavimentación tipo empedrado del tramo Raúl A. Oviedo - Nueva Toledo,Consorcio ROTEC,35 kms,Raúl Arsenio Oviedo - Nueva Toledo,"Mié, 20 Marzo 2013","Lun, 11 Enero 2016",,100%,Fondo Local,Gs. 72.532.645.369
Pavimentación tipo empedrado del tramo Empalme Ruta Nº 8 - Empalme A° Guazú (Ruta Nº 7) - R.I. 3 Corrales,Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,Caaguazú - R. I. Tres Corrales,Pavimentación tipo empedrado del tramo Empalme Ruta Nº 8 - Empalme A° Guazú (Ruta Nº 7) - R.I. 3 Corrales,Consorcio Nacional Pétreo,21.34,R.I. Tres Corrales,"Vie, 22 Febrero 2013","Mié, 08 Marzo 2017",,100%,Fondo Local,Gs. 65.868.129.444
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caazaapá.,Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Caazapá - Caazapá,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caazaapá.,Constructora Heisecke,199 mts,Caazapá,"Vie, 01 Julio 2016","Mar, 30 Agosto 2016",,100%,Fondo Local,Gs. 2.012.954.650
"Rehabilitacion de Tramos de Caminos Vecinales en los Departamentos de Paraguarí, Guairá y Misiones. Convenio de Prestamo PG - P16 - JICA. Paquete 1",Rehabilitación de Tramos,EN CONSTRUCCIÓN,Paraguarí - Acahay,"Llamado MOPC 51-2014 - Rehabilitacion de Tramos de Caminos Vecinales en los Departamentos de Paraguarí, Guairá y Misiones. Convenio de Prestamo PG - P16 - JICA. Paquete 1",Consorcio Vial Paraguarí,"56,90",Paraguarí,"Lun, 01 Febrero 2016","Mar, 25 Julio 2017",,90%,Fondo Local,Gs. 49.369.973.610
Pavimentación tipo empedrado del tramo Curuzú de Hierro - Azotey,Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,Concepción - Azotey,Pavimentación tipo empedrado del tramo Curuzú de Hierro - Azotey,Consorcio Vial Nuevo Horizonte,38.70 kms,Curuzú de Hierro - Azotey,"Mié, 20 Marzo 2013","Sáb, 07 Enero 2017",,91%,Fondo Local,Gs. 91.394.435.093
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Alto Paraná.,Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Alto Paraná - Ciudad del Este,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Alto Paraná.,Constructora Heisecke,"307,00",Alto Paraná,"Lun, 11 Julio 2016","Vie, 09 Septiembre 2016",,100%,Fondo Local,Gs. 2.824.415.043
"Rehabilitacion de Tramos de Caminos Vecinales en los Departamentos de Paraguarí, Guairá y Misiones. Convenio de Prestamo PG - P16 - JICA. Paquete 2",Rehabilitación de Tramos,EN CONSTRUCCIÓN,Guairá - Borja,"Llamado MOPC 51-2014 - Rehabilitacion de Tramos de Caminos Vecinales en los Departamentos de Paraguarí, Guairá y Misiones. Convenio de Prestamo PG - P16 - JICA. Paquete 2",14 de Julio S.A.,"47,84",Guairá,"Mar, 01 Diciembre 2015","Mar, 24 Abril 2018",29,64%,Fondo Local,Gs. 41.838.597.724
Construcción de Puentes de Hormigón Armado en varios tramos,Puente de Hormigón Armado,FINALIZADA,Concepción - Concepción,Construcción de Puentes de Hormigón Armado en varios tramos.,Consorcio Arroyo Pucu,120,Concepción - Horqueta,"Jue, 02 Mayo 2013","Mié, 09 Diciembre 2015",,0%,BID,Gs. 6.259.805.275
"Rehabilitacion de Tramos de Caminos Vecinales en los Departamentos de Paraguarí, Guairá y Misiones. Convenio de Prestamo PG - P16 - JICA. Paquete 3",Rehabilitación de Tramos,EN CONSTRUCCIÓN,Misiones - Ayolas,"Llamado MOPC 51-2014 - Rehabilitación de Tramos de Caminos Vecinales en los Departamentos de Paraguarí, Guairá y Misiones. Convenio de Préstamo PG - P16 - JICA. Paquete 3",Consorcio Aguaty,"44,46 kms",Misiones,"Lun, 01 Febrero 2016","Mar, 03 Julio 2018",29,99%,JICA,Gs. 40.131.239.320
Construcción de Puentes de Hormigón Armado en varios tramos,Puente de Hormigón Armado,FINALIZADA,Concepción - Concepción,Construcción de Puentes de Hormigón Armado en varios tramos,EDIVISA,73,Concepción - Bella Vista Norte,"Jue, 02 Mayo 2013","Mar, 01 Diciembre 2015",,0%,BID,Gs. 4.781.571.077
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Concepción.,Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Concepción - Concepción,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Concepción.,EDIVISA,"220,00",Concepción,"Vie, 01 Julio 2016","Mar, 30 Agosto 2016",,100%,Fondo Local,Gs. 1.765.719.120
"Mejoramiento y Rehabilitacion de Caminos Vecinales en el Departamentos de Concepcion. Convenio de Prestamo BID - 2163/OC - PR Y 2164/BL-PR Programa Nacional de Caminos rurales - 2da Etapa - Fase II. Paquete 1""",Rehabilitación de Tramos,EN CONSTRUCCIÓN,Concepción - Concepción,"Llamado MOPC 62-2014 - Mejoramiento y Rehabilitación de Caminos Vecinales en el Departamentos de Concepción. Convenio de Préstamo BID - 2163/OC - PR Y 2164/BL-PR.
Programa Nacional de Caminos rurales - 2da Etapa - Fase II. Paquete 1",VIALTEC S.A.,"36,38",Concepción,"Lun, 04 Enero 2016","Mar, 03 Julio 2018",31,95%,Fondo Local,Gs. 25.789.301.399
Construcción de Puente de Hormigón Armado en el tramo Villa del Rosario - Volendam (Cauce Arroyo Kuarepoti).,Puente de Hormigón Armado,FINALIZADA,San Pedro - Villa del Rosario,Construcción de Puente de HºAº en el tramo Villa del Rosario - Volendam (Cauce Arroyo Kuarepoti). (2da Tanda),Ing. Hugo Navarro,60,Villa del Rosario,"Jue, 02 Mayo 2013","Sáb, 21 Febrero 2015",,100%,BID,Gs. 2.954.056.900
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Ñeembucú.,Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Ñeembucú - Pilar,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Ñeembucú.,T&C S.A.,288 kms.,Ñeembucú,"Vie, 01 Julio 2016","Jue, 01 Septiembre 2016",,100%,Fondo Local,Gs. 2.544.115.104
"Mejoramiento y Rehabilitacion de Caminos Vecinales en el Departamentos de Concepcion. Convenio de Prestamo BID - 2163/OC - PR Y 2164/BL-PR Programa Nacional de Caminos rurales - 2da Etapa - Fase II. Paquete 2""",Rehabilitación de Tramos,EN REPARACIÓN,Concepción - Concepción,"Llamado MOPC 62-2014 - Mejoramiento y Rehabilitacion de Caminos Vecinales en el Departamentos de Concepcion. Convenio de Prestamo BID - 2163/OC - PR Y 2164/BL-PR
Programa Nacional de Caminos rurales - 2da Etapa - Fase II. Paquete 2""",Covipa S.A.,"26,90",Concepción,"Mar, 24 Noviembre 2015","Sáb, 19 Agosto 2017",21,75%,Fondo Local,Gs. 14.654.680.560
"Mejoramiento y Rehabilitacion de Caminos Vecinales en el Departamentos de Concepcion. Convenio de Prestamo BID - 2163/OC - PR Y 2164/BL-PR Programa Nacional de Caminos rurales - 2da Etapa - Fase II. Paquete 3""",Ripio / Empedrado,FINALIZADA,Concepción - Concepción,"""Llamado MOPC 62-2014 - Mejoramiento y Rehabilitacion de Caminos Vecinales en el Departamentos de Concepcion. Convenio de Prestamo BID - 2163/OC - PR Y 2164/BL-PR
Programa Nacional de Caminos rurales - 2da Etapa - Fase II. Paquete 3""",Consorcio Emprendimientos del Sur,"14,02",Concepción,"Lun, 04 Enero 2016","Lun, 02 Octubre 2017",22,100%,Fondo Local,Gs. 18.081.886.786
Pavimentación en la Avda. Perú de Ciudad del Este,Pavimentación Asfáltica,FINALIZADA,Alto Paraná - Ciudad del Este,"Ampliación y mejoramiento de la Avenida Perú, que une la Ruta 7 “Dr. José Gaspar Rodríguez de Francia” con la supercarretera “Mariscal López” de Hernandarias. Los trabajos fueron ejecutados por el Consorcio Bella Vista, con una inversión inicial de G. 75.000 millones, financiados con fondos del Ministerio de Obras Públicas y Comunicaciones (MOPC).
Cuenta con una calzada central para la circulación de motocicletas, calzadas laterales para automóviles, una ciclovía y veredas, totalmente iluminada. Cuenta con retornos cada 400 m.
Se construyeron dos puentes de hormigón armado de 125 metros cada uno, sobre el río Acaray, y en la intersección con la supercarretera, un paso a desnivel con una longitud de 35 metros y 9 de ancho, en sentido a Hernandarias,",Consorcio Bella Vista,"6,68",Alto Paraná,"Lun, 18 Enero 2016","Jue, 18 Enero 2018",,50%,Fondo Local,Gs. 74.869.949.514
Mejoramiento de tramos en la Ruta N° 9 : Km. 21 - Km. 326 y Acceso a Puerto Falcón,Pavimentación Asfáltica,FINALIZADA,Presidente Hayes - Benjamín Aceval,"Alcance de los trabajos: fresado y reposición de mezcla asfáltica en el Puente Remanso, bacheo superficial y profundo de calzadas, señalización horizontal y vertical, limpieza de franja de dominio.",Constructora Heisecke S.A.,"324,50 Kms.",Mariano Roque Alonso - Remansito - Pto. Falcón - Villa Hayes - Benjamín Aceval - Pozo Colorado - Colonia Río Verde,"Lun, 02 Febrero 2015","Mar, 26 Abril 2016",15,100%,Fondo Local,Gs. 35.919.714.175
Construcción de la Avda. Costanera Norte de Asunción 2da. Etapa Bañado Norte y conexión a la Avda. 1er. Presidente con la Ruta N°9,Costanera,EN CONSTRUCCIÓN,Central - Asunción,"Construcción de la Avenida Costanera Norte de Asunción - 2ª Etapa y
Conexión (Av. Primer Presidente) con la Ruta Nacional N°9",Consorcio D-R,"15,053 kilometros",Central,"Vie, 27 Mayo 2016","Sáb, 27 Octubre 2018",24,10%,FOCEM,Gs. 361.575.154.613
"Mejoramiento de tramos en la Ruta N° 9 : Km. 326 - Km. 525 (Mariscal Estigarribia) y Accesos a Loma Plata, Neuland y Filadelfia",Pavimentación Asfáltica,FINALIZADA,Boquerón - Mariscal José Félix Estigarribia,"Alcance de los trabajos: reconstrucción de tramos de calzada (7 km aprox.), bacheo superficial y profundo de calzadas, señalización horizontal y vertical, limpieza de franja de dominio.",Consorcio Concret Mix & Asociados - 8A S.A.,"255,00 Kms.",Colonia Río Verde - Tte. Manuel Irala Fernández - Loma Planta - Neuland - Villa Choféres del Chaco- Cruce Filadelfia - Mcal. Estigarribia,"Jue, 19 Marzo 2015","Jue, 17 Agosto 2017",17,100%,Fondo Local,Gs. 89.744.478.576
Mejoramiento de Transitabilidad de caminos no pavimentados en los Departamentos de Paraguarí.,Mejoramiento de transitabilidad de caminos no pavimentados,EN CONSTRUCCIÓN,Paraguarí - Paraguarí,Mejoramiento de Transitabilidad de caminos no pavimentados en los Departamentos de Paraguarí. Lote 27,M&T S.A.,207 kms,Paraguarí,"Lun, 01 Agosto 2016","Sáb, 01 Octubre 2016",,92%,Fondo Local,Gs. 14.989.447.551
Mantenimiento de Carreteras por Índices de Servicios Ruta Nacional N° 3 tramo: Limpio - Arroyos y Esteros - San Estanislao - Rotonda Arroyo Tapiracuay - Rotonda Calle 6000,Rehabilitación y Mantenimiento de Rutas Pavimentadas (CREMA),EN CONSTRUCCIÓN,Cordillera - Arroyos y Esteros,CREMA. Mantenimiento de Carreteras por Índices de Servicios Ruta Nacional N° 3 tramo: Limpio - Emboscada - Arroyos y Esteros - 25 de Diciembre - San Estanislao - Rotonda Arroyo Tapiracuay -Rotonda Calle 6000,Consorcio TOCSA - ECOIMPA,"148,50 kms.",Limpio - Arroyos y Esteros - San Estanislao - Rotonda Arroyo Tapiracuay -Rotonda Calle 6000,"Mar, 24 Marzo 2015","Dom, 29 Mayo 2022",64,76%,Fondo Local,Gs. 264.912.426.171
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caaguazú.,Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Caaguazú - Caaguazú,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caaguazú. Lote 16,Sotec S.A.,253 kms,Caaguazú,"Vie, 01 Julio 2016","Mar, 30 Agosto 2016",,100%,Fondo Local,Gs. 2.728.673.057
Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 13 y Lote 36,Mejoramiento de Franja de Dominio,EN REPARACIÓN,Cordillera - Itacurubí de la Cordillera,Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 13 y Lote 36,Cabañas Construcciones,82 kms,Cordillera - Caaguazú,"Lun, 30 Noviembre 2015","Vie, 26 Agosto 2016",,100%,Fondo Local,Gs. 838.200.000
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de tapúa.,Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Itapúa - Encarnación,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de tapúa.,Sotec S.A.,214 kms.,Itapúa,"Vie, 01 Julio 2016","Mar, 30 Agosto 2016",,0%,Fondo Local,Gs. 2.333.199.842
Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 27 y Lote 38,Mejoramiento de Franja de Dominio,EN CONSTRUCCIÓN,Central - Ypacaraí,Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 27 y Lote 38,Jerovia Construcciones,40,Central - Paraguarí,"Lun, 30 Noviembre 2015","Mié, 30 Noviembre 2016",,0%,Fondo Local,Gs. 430.800.000
Construcción de Puentes de Hormigón Armado en varios tramos,Puente de Hormigón Armado,FINALIZADA,Itapúa - San Pedro del Paraná,Construcción de Puentes de Hormigón Armado en varios tramos,Sotec S.A.,144 kms,San Pedro del Paraná - Fram,"Jue, 02 Mayo 2013","Mar, 23 Junio 2015",,100%,BID,Gs. 7.758.818.613
Construcción de Puentes de Hormigón Armado en varios tramos.,Puente de Hormigón Armado,EN CONSTRUCCIÓN,Guairá - Borja,Construcción de Puentes de HºAº en varios tramos. Paquete 4,EDIVISA,210,Col. Independencia - Mbuyapey - Borja - Yataity - Dr. Botrell - Natalicio Talavera,"Lun, 03 Febrero 2014","Jue, 21 Junio 2018",43,65%,JICA,Gs. 13.224.271.001
"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 10, Lote 11 y Lote 12",Mejoramiento de Franja de Dominio,FINALIZADA,Canindeyú - Yasy Cañy,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio.
Lote 10: Ruta N°10 (empalme Capiibary - Cruce del Distrito Ybyrapyta) 60 kms.
Lote 11: Rota N°10 (Cruce del Distrito Ybyrapyta - Cruce Supercarretera).
Lote 12: Ruta N°10 Cruce Supercarretera - Río Piratiy (incluye el puente Río Piratiy).",Yukon S.A.,194 kms,Canindeyú,"Mié, 25 Noviembre 2015","Mié, 25 Mayo 2016",,100%,Fondo Local,Gs. 2.826.318.759
Mejoramiento de Transitabilidad. Lote 1 - (Chaco),Rehabilitación de Tramos,EN CONSTRUCCIÓN,Alto Paraguay - Bahía Negra,"Mejoramiento de Transitabilidad de caminos no pavimentados en la Región Occidental (Chaco). Lote 1
Los tramos ejecutados por el Consorcio Occidental son: Bahía Negra – Línea 28, Toro Pampa – Bahía Negra y Toro Pampa – Fuerte Olimpo.",Consorcio Occidental,"199,50 Kms.",Toro Pampa – Bahía Negra – Fuerte Olimpo,"Lun, 02 Febrero 2015","Jue, 06 Agosto 2015",6,100%,Fondo Local,Gs. 9.981.081.772
Construcción de Puentes de Hormigón Armado en varios tramos.,Puente de Hormigón Armado,EN CONSTRUCCIÓN,Guairá - Paso Yobái,Construcción de Puentes de HºAº en varios tramos. Paquete 5,INGAER S.A.,205,Troche - Colonia Independencia - Paso Yobai,"Lun, 03 Febrero 2014","Lun, 04 Junio 2018",52,61%,JICA,Gs. 12.915.381.606
Construcción de Puentes de Hormigón Armado en varios tramos.,Puente de Hormigón Armado,EN CONSTRUCCIÓN,Guairá - Paso Yobái,Construcción de Puentes de HºAº en varios tramos. Paquete 2,Sotec S.A.,139,Paso Yobai - Colonia Independencia,"Lun, 03 Febrero 2014","Sáb, 02 Junio 2018",42,77%,JICA,Gs. 16.985.988.651
Construcción de Puentes de Hormigón Armado en varios tramos,Puente de Hormigón Armado,EN CONSTRUCCIÓN,Misiones - Yabebyry,Construcción de Puentes de Hormigón Armado en varios tramos.,Ing. Carlos Gueyraud,71 kms.,Yabebyry - Santa Rosa,"Lun, 03 Febrero 2014","Jue, 05 Abril 2018",50,73%,JICA,Gs. 9.242.954.923
"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 15 , Lote 18 y Lote 34",Mejoramiento de Franja de Dominio,FINALIZADA,Caaguazú - Caaguazú,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 15 , Lote 18 y Lote 34",Vivero Ka'avoty,167 kms,Caaguazú - Central - Paraguarí,"Lun, 23 Noviembre 2015","Mié, 23 Noviembre 2016",,100%,Fondo Local,Gs. 2.809.800.000
Contrucción de Puente Mixto sobre el Río Ypané en el tramo Tacuati - Horqueta,Puente Mixto,EN CONSTRUCCIÓN,Concepción - Horqueta,Contrucción de Puente Mixto sobre el Río Ypané en el tramo Tacuati - Horqueta,Consorcio Ypané,120 metros,Tacuati - Horqueta,"Jue, 01 Septiembre 2016","Sáb, 01 Julio 2017",,89%,Fondo Local,Gs. 16.237.013.680
Construcción de Puentes de Hormigón Armado en varios tramos.,Puente de Hormigón Armado,EN CONSTRUCCIÓN,Paraguarí - Ybycuí,Construcción de Puentes de HºAº en varios tramos. Paquete 1,Arenales S.A.,86,Ybycuí - Quyquyho,"Lun, 03 Febrero 2014","Mar, 15 Mayo 2018",51,90%,JICA,Gs. 8.887.795.597
Construcción de aliviadero sobre el río Jejuí,Puente de Hormigón Armado,EN CONSTRUCCIÓN,San Pedro - San Pablo,Construcción de aliviadero sobre el río Jejuí,Consorcio M&N,75 metros,San Pedro - San Pablo,"Sáb, 01 Octubre 2016","Mar, 01 Agosto 2017",,0%,Fondo Local,Gs. 4.950.673.660
"Rehabilitación y refuerzo de Puentes de H°A° en la Ruta N° 5 ""Gral. Bernardino Caballero""",Puente de Hormigón Armado,FINALIZADA,Concepción - Concepción,"Rehabilitación y refuerzo de 7 Puentes de H°A° en la Ruta N° 5 ""Gral. Bernardino Caballero"" sobre los siguientes causes:
A° Espajin - A° Yby Yau - A° Yaguary Guazu - A° Ñea - A° Piky - A° Sin Nombre - A° Guavira.",Sergio Elias Gavilán Martinez,98 metros,Concepción - Amambay,"Vie, 22 Julio 2016","Dom, 30 Octubre 2016",,100%,Fondo Local,Gs. 8.802.293.175
Construcción de Puentes de Hormigón Armado en varios tramos.,Puente de Hormigón Armado,FINALIZADA,Paraguarí - Caapucú,Construcción de Puentes de HºAº en varios tramos.,Ing. Miguel Ángel Chávez Haussman,145 kms.,Quiindy - Caapucú,"Lun, 03 Febrero 2014","Mar, 27 Junio 2017",40,90%,JICA,Gs. 10.669.238.813
"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 6, Ruta N° 5 Horqueta ( Monumento entrada) - Yby Yau (Empalme Ruta N°3)",Mejoramiento de Franja de Dominio,FINALIZADA,Concepción - Horqueta,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 6, Ruta N° 5 Horqueta ( Monumento entrada) - Yby Yau (Empalme Ruta N°3)",Iniciativas Constructivas S.A.,68,Concepción,"Mar, 01 Diciembre 2015","Mié, 01 Junio 2016",,0%,Fondo Local,Gs. 824.660.760
Mejoramiento de Franja de Dominio de Carreteraspor Niveles de Servicio en la ruta N° 10. (Cruce calle 6000 - Empalme Capiibary),Mejoramiento de Franja de Dominio,EN CONSTRUCCIÓN,Canindeyú - Salto del Guairá,Mejoramiento de Franja de Dominio de Carreteraspor Niveles de Servicio en la ruta N° 10. (Cruce calle 6000 - Empalme Capiibary),Bienvenido Gimenez Benitez,"52,00",San Pedro - Canindeyú,"Vie, 12 Agosto 2016","Dom, 12 Febrero 2017",,0%,Fondo Local,Gs. 769.600.000
Construcción de Puentes de HºAº en varios tramos.,Puente de Hormigón Armado,EN CONSTRUCCIÓN,Paraguarí - Acahay,Construcción de Puentes de HºAº en varios tramos. Paquete 3,Ing. Enrique Parisi,12,Acahay - Mbuyapey - Borja,"Lun, 03 Febrero 2014","Dom, 29 Octubre 2017",44,85%,JICA,Gs. 3.851.736.719
Mejoramiento de Franja de Dominio de Carreteraspor Niveles de Servicio en la ruta N° 3. desvío Ruta N° 11 Santa Rosa del Aguaray - Limite departamental San Pedro (Río Ypané),Mejoramiento de Franja de Dominio,EN CONSTRUCCIÓN,San Pedro - San Pedro de Ycuamandyyú,Mejoramiento de Franja de Dominio de Carreteraspor Niveles de Servicio en la ruta N° 3. desvío Ruta N° 11 Santa Rosa del Aguaray - Limite departamental San Pedro (Río Ypané),Bienvenido Gimenez Benitez,46 kms.,San Pedro,"Lun, 25 Julio 2016","Mié, 25 Enero 2017",,0%,Fondo Local,Gs. 585.200.000
"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 22, Lote 23 y Lote 24",Mejoramiento de Franja de Dominio,EN CONSTRUCCIÓN,Misiones - San Juan Bautista,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 22, Lote 23 y Lote 24",Consultoría Y Servicios de Ingeniería S.A.,137 kms.,Misiones - Itapúa,"Mar, 24 Noviembre 2015","Jue, 24 Noviembre 2016",,0%,Fondo Local,Gs. 3.218.040.000
Construcción de Puentes de Hormigón Armado en varios tramos,Puente de Hormigón Armado,FINALIZADA,Concepción - Loreto,Construcción de Puentes de HºAº en varios tramos.,Jonica S.A.,75,Loreto - Azotey - Pedro Juan Caballero,"Vie, 24 Enero 2014","Mié, 23 Julio 2014",,0%,Fondo Local,Gs. 6.483.780.205
Mejoramiento de Franja de Dominio de Carreteraspor Niveles de Servicio en la ruta N° 1.(Fin de zona urbana de Quiindy - Cabecera del puente Tebicuary en Villa Florida),Mejoramiento de Franja de Dominio,EN CONSTRUCCIÓN,Paraguarí - Quiindy,Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio en la ruta N°1. (Fin de zona urbana de Quiindy - Cabecera del puente Tebicuary en Villa Florida),Carlos Ruben Oviedo Centurión,50 kms,Paraguarí,"Vie, 22 Julio 2016","Dom, 22 Enero 2017",,0%,Fondo Local,Gs. 600.000.000
Construcción de Puentes de Hormigón Armado en varios tramos,Puente de Hormigón Armado,EN CONSTRUCCIÓN,San Pedro - General Elizardo Aquino,Construcción de Puentes de HºAº en varios tramos,Arq. Ana Luci Porro,75 kms,Gral. Aquino - Capiibary - Simón Bolívar,"Lun, 24 Febrero 2014","Sáb, 23 Agosto 2014",,0%,Fondo Local,Gs. 6.117.310.780
Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio en la ruta N° 1.,Mejoramiento de Franja de Dominio,EN CONSTRUCCIÓN,Itapúa - Encarnación,Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio en la ruta N° 1. Lote 6,J L y Cia S.A.,33 kms.,Itapúa,"Vie, 22 Julio 2016","Sáb, 22 Julio 2017",,22%,Fondo Local,Gs. 752.400.000
"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 4, Ruta N°3 Limite Departamental San Pedro (Río Ypané) - Empalme Ruta N° 5(Yby Yau)",Mejoramiento de Franja de Dominio,FINALIZADA,Concepción - Azotey,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 4, Ruta N°3 Limite Departamental San Pedro (Río Ypané) - Empalme Ruta N° 5 (Yby Yau)",Ingemant S.A..,51,Concepción,"Lun, 30 Noviembre 2015","Lun, 30 Mayo 2016",,0%,Fondo Local,Gs. 850.000.000
Construcción de Puentes de Hormigón Armado en varios tramos.,Puente de Hormigón Armado,FINALIZADA,Cordillera - Caacupé,"Construcción de Puentes de hormigón armado en varios tramos.
Originalmente se previó la ejecución de 75 metros lineales (5 puentes) pero debido a inconvenientes con los sitios de implantación de los puentes y otros temas, se acordó con la contratista la ejecución de 30 metros lineales (2 puentes). Estos trabajos fueron finalizados en Diciembre/2017.",Estructura Ingeniería S.A.,30,Cordillera – Caaguazú,"Lun, 24 Febrero 2014","Sáb, 23 Agosto 2014",,100%,Fondo Local,Gs. 6.415.443.333
Construcción de Puentes de Hormigón Armado en varios tramos.,Puente de Hormigón Armado,FINALIZADA,Misiones - San Juan Bautista,Construcción de Puentes de HºAº en varios tramos,Pilar Constructora S.R.L.,75 kms.,San Juan Bautista - Sta. María - Hohenau - Obligado - San Pedro del Paraná - La Paz - San Rafael del Paraná,"Mié, 26 Marzo 2014","Lun, 22 Septiembre 2014",,100%,Fondo Local,Gs. 6.029.335.835
